filename,split
image(1).jpg,train
image(2).jpg,train
image(3).jpg,train
image(5).jpg,train
image(6).jpg,train
image(7).jpg,train
image(8).jpg,train
image(9).jpg,train
image(10).jpg,train
image(11).jpg,train
image(12).jpg,train
image(13).jpg,train
image(14).jpg,train
image(16).jpg,train
image(17).jpg,train
image(18).jpg,train
image(19).jpg,train
image(20).jpg,train
image(23).jpg,train
image(24).jpg,train
image(25).jpg,train
image(27).jpg,train
image(29).jpg,train
image(30).jpg,train
image(31).jpg,train
image(33).jpg,train
image(35).jpg,train
image(38).jpg,train
image(39).jpg,train
image(40).jpg,train
image(42).jpg,train
image(44).jpg,train
image(45).jpg,train
image(46).jpg,train
image(48).jpg,train
image(49).jpg,train
image(52).jpg,train
image(56).jpg,train
image(58).jpg,train
image(59).jpg,train
image(61).jpg,train
image(65).jpg,train
image(66).jpg,train
image(67).jpg,train
image(68).jpg,train
image(69).jpg,train
image(71).jpg,train
image(72).jpg,train
image(73).jpg,train
image(74).jpg,train
image(75).jpg,train
image(79).jpg,train
image(80).jpg,train
image(82).jpg,train
image(83).jpg,train
image(84).jpg,train
image(85).jpg,train
image(86).jpg,train
image(88).jpg,train
image(89).jpg,train
image(90).jpg,train
image(92).jpg,train
image(94).jpg,train
image(95).jpg,train
image(97).jpg,train
image(98).jpg,train
image(99).jpg,train
image(102).jpg,train
image(104).jpg,train
image(105).jpg,train
image(106).jpg,train
image(107).jpg,train
image(109).jpg,train
image(110).jpg,train
image(111).jpg,train
image(115).jpg,train
image(116).jpg,train
image(117).jpg,train
image(118).jpg,train
image(122).jpg,train
image(123).jpg,train
image(125).jpg,train
image(127).jpg,train
image(128).jpg,train
image(131).jpg,train
image(132).jpg,train
image(133).jpg,train
image(134).jpg,train
image(135).jpg,train
image(136).jpg,train
image(137).jpg,train
image(138).jpg,train
image(139).jpg,train
image(141).jpg,train
image(142).jpg,train
image(145).jpg,train
image(149).jpg,train
image(151).jpg,train
image(153).jpg,train
image(154).jpg,train
image(155).jpg,train
image(156).jpg,train
image(157).jpg,train
image(159).jpg,train
image(161).jpg,train
image(162).jpg,train
image(163).jpg,train
image(164).jpg,train
image(165).jpg,train
image(4).jpg,val
image(22).jpg,val
image(26).jpg,val
image(28).jpg,val
image(32).jpg,val
image(37).jpg,val
image(41).jpg,val
image(51).jpg,val
image(55).jpg,val
image(57).jpg,val
image(60).jpg,val
image(62).jpg,val
image(63).jpg,val
image(64).jpg,val
image(70).jpg,val
image(77).jpg,val
image(81).jpg,val
image(91).jpg,val
image(96).jpg,val
image(100).jpg,val
image(101).jpg,val
image(126).jpg,val
image(129).jpg,val
image(140).jpg,val
image(143).jpg,val
image(146).jpg,val
image(150).jpg,val
image(160).jpg,val
